Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
15-Oct-24,EQ,805.5,807.5,801.6,805.15,805,804.65,804.8,912,543.2,"62,52,104","5,03,17,18,258.10","1,16,721"
14-Oct-24,EQ,802,809.25,800.8,799.75,804.35,805.15,804.89,912,543.2,"89,67,564","7,21,79,24,843.80","1,87,072"
11-Oct-24,EQ,797.2,802.7,793,797.1,799,799.75,796.96,912,543.2,"1,43,22,720","11,41,46,20,098.50","1,88,510"
10-Oct-24,EQ,799,804.45,795,797.4,797,797.1,799.19,912,543.2,"1,02,41,015","8,18,45,02,967.70","2,08,285"
9-Oct-24,EQ,786.7,804.35,782.05,781.45,795.8,797.4,796.77,912,543.2,"1,87,58,697","14,94,62,96,986.35","3,13,365"
8-Oct-24,EQ,772.25,784.4,772.25,770.65,781,781.45,779.95,912,543.2,"85,60,960","6,67,70,95,737.45","2,16,893"
7-Oct-24,EQ,800,804,765.4,796.65,774,770.65,779.47,912,543.2,"2,42,67,990","18,91,60,63,402.30","4,29,825"
4-Oct-24,EQ,792,809.85,785.25,794.1,797.25,796.65,798.23,912,543.2,"2,00,97,454","16,04,24,68,814.10","2,87,081"
3-Oct-24,EQ,789.9,804,784.3,796.95,793,794.1,793.84,912,543.2,"1,59,44,135","12,65,70,16,578.30","2,59,077"
1-Oct-24,EQ,788,800.35,788,787.9,795.5,796.95,796.12,912,543.2,"1,32,80,535","10,57,29,65,170.25","2,19,272"
30-Sep-24,EQ,801.9,802.6,786.45,802.65,788,787.9,791.89,912,543.2,"1,54,84,573","12,26,21,30,516.90","2,57,965"
27-Sep-24,EQ,801.85,808,798.45,801.85,802.3,802.65,803.39,912,543.2,"1,51,93,681","12,20,64,36,482.05","2,31,524"
26-Sep-24,EQ,796,803,791.6,793.1,802,801.85,796.93,912,543.2,"2,31,98,842","18,48,78,42,395.85","2,40,672"
25-Sep-24,EQ,797.9,798,788.7,798.25,793.15,793.1,792.31,912,543.2,"1,84,65,571","14,63,04,27,178.90","2,22,586"
24-Sep-24,EQ,799.25,804.25,796.5,801.85,797.9,798.25,801.04,912,543.2,"1,51,80,653","12,16,03,61,927.75","2,41,147"
23-Sep-24,EQ,786,805,784.5,781.7,800.6,801.85,799.91,912,543.2,"1,73,09,545","13,84,60,48,008.90","3,23,087"
20-Sep-24,EQ,794.85,794.85,779.5,789.95,784.5,781.7,785.43,912,543.2,"2,13,72,244","16,78,63,88,691.70","2,65,805"
19-Sep-24,EQ,795.05,801.35,784.05,792.75,791.5,789.95,791.39,912,543.2,"1,06,45,478","8,42,47,36,778.30","2,18,449"
18-Sep-24,EQ,783.8,794.75,782,782.9,790.75,792.75,791.27,912,543.2,"1,83,24,412","14,49,95,92,000.20","2,55,355"
17-Sep-24,EQ,785.6,787.5,780.55,785.55,782.75,782.9,784.12,912,543.2,"1,06,65,630","8,36,31,82,377.75","2,23,966"
16-Sep-24,EQ,790.85,795,784.4,790.85,786.55,785.55,788.19,912,543.2,"95,53,736","7,53,01,68,486.30","2,35,580"
13-Sep-24,EQ,791,795,785.1,787.75,789.7,790.85,790.44,912,543.2,"1,29,50,936","10,23,69,36,227.10","3,37,655"
12-Sep-24,EQ,775,789.9,772.75,768.6,786.5,787.75,780.47,912,543.2,"1,75,78,964","13,71,98,61,669.35","3,08,964"
11-Sep-24,EQ,780.05,788,765.4,782.65,771,768.6,775.71,912,543.2,"2,00,60,665","15,56,12,42,684.15","3,07,051"
10-Sep-24,EQ,788,788.8,777.5,784.25,782.5,782.65,782.41,912,543.2,"1,28,24,701","10,03,41,64,045.55","2,41,486"
9-Sep-24,EQ,785,788.2,771,782.5,785.7,784.25,779.38,912,543.2,"2,13,22,103","16,61,81,14,365.00","4,16,430"
6-Sep-24,EQ,811.5,812.9,777,818.75,783.9,782.5,790.89,912,543.2,"4,02,20,096","31,80,95,57,552.90","7,53,751"
5-Sep-24,EQ,818.35,822.15,814.4,816.5,818,818.75,819.29,912,543.2,"83,95,074","6,87,80,27,979.75","1,46,739"
4-Sep-24,EQ,815.45,818.65,813.65,824.8,816.25,816.5,816.16,912,543.2,"1,07,89,570","8,80,60,44,759.65","1,77,040"
3-Sep-24,EQ,822.15,825.95,816.4,822.15,823.4,824.8,821.71,912,543.2,"1,05,48,350","8,66,77,21,196.75","1,97,793"
2-Sep-24,EQ,817.3,825.4,813.05,815.6,821.9,822.15,819.67,912,543.2,"1,18,13,750","9,68,33,69,620.85","2,79,222"
30-Aug-24,EQ,817.15,820.7,814.35,814.5,816.25,815.6,816.37,912,543.2,"89,11,426","7,27,50,03,120.65","1,61,440"
29-Aug-24,EQ,809.55,816,806.95,809.4,815.7,814.5,812.98,912,543.2,"1,82,47,268","14,83,46,79,544.70","3,07,266"
28-Aug-24,EQ,814.75,817.2,806.5,815.9,807.95,809.4,812.23,912,543.2,"1,03,71,300","8,42,39,16,166.65","1,89,651"
27-Aug-24,EQ,817.8,819.45,811.05,815.05,814.8,815.9,816.19,912,543.2,"1,28,33,290","10,47,43,72,291.35","1,88,750"
26-Aug-24,EQ,818,823.45,813.8,815.35,815.4,815.05,818.73,912,543.2,"85,23,795","6,97,87,12,521.45","1,53,882"
23-Aug-24,EQ,821.5,822,814.5,820.3,815.8,815.35,817.21,912,543.2,"55,37,747","4,52,54,82,307.75","1,37,876"
22-Aug-24,EQ,819,823.9,817.1,815.55,820,820.3,820.73,912,543.2,"78,32,917","6,42,87,45,634.45","1,70,021"
21-Aug-24,EQ,820.3,821,811.2,820.3,816.6,815.55,815.09,912,543.2,"1,46,07,257","11,90,61,94,827.25","2,07,262"
20-Aug-24,EQ,817.95,823,813.35,813.7,819,820.3,819.61,912,543.2,"1,03,47,493","8,48,09,42,023.00","1,72,376"
19-Aug-24,EQ,815,825.4,812.6,812.1,814.6,813.7,817.66,912,543.2,"1,01,51,482","8,30,04,40,391.90","1,74,502"
16-Aug-24,EQ,803,814.9,803,803,811.4,812.1,810.05,912,543.2,"1,14,27,335","9,25,67,64,911.30","2,51,297"
14-Aug-24,EQ,800.95,809.15,800.4,797.55,803.2,803,803.92,912,543.2,"1,17,88,665","9,47,71,00,413.75","2,36,789"
13-Aug-24,EQ,813.5,820,795.05,812.6,797,797.55,807.01,912,543.2,"1,75,85,172","14,19,14,44,287.00","3,22,018"
12-Aug-24,EQ,820.6,823,811.2,824.3,813,812.6,815.34,912,543.2,"1,61,20,449","13,14,36,24,493.80","2,50,757"
9-Aug-24,EQ,816,829.95,809.55,808.05,825,824.3,819.02,912,543.2,"1,53,20,885","12,54,81,31,438.55","2,12,970"
8-Aug-24,EQ,812,817.8,802.8,808.65,808.15,808.05,809.92,912,543.2,"1,47,69,069","11,96,17,21,510.05","2,40,989"
7-Aug-24,EQ,809,810.7,800.55,797.7,809.95,808.65,805.9,912,543.2,"1,76,92,355","14,25,81,83,262.40","2,81,837"
6-Aug-24,EQ,822.65,826.55,795.65,811.65,799.75,797.7,810.02,912,543.2,"1,79,00,930","14,50,00,66,261.55","3,30,145"
5-Aug-24,EQ,830,831.35,800,847.85,810,811.65,815.37,912,543.2,"2,76,76,951","22,56,70,00,834.00","5,39,085"
2-Aug-24,EQ,856.7,858.3,846.15,862.65,847.75,847.85,850.62,912,543.2,"1,26,09,331","10,72,57,42,695.20","2,53,151"
1-Aug-24,EQ,877.8,881.4,859.45,872.4,861.9,862.65,870.65,912,543.2,"1,17,87,203","10,26,25,15,137.00","1,72,670"
31-Jul-24,EQ,873.85,874.95,868,872.8,874.4,872.4,871.25,912,543.2,"1,16,36,874","10,13,85,73,730.25","1,85,998"
30-Jul-24,EQ,874.7,880.55,869,871.6,871.65,872.8,874.1,912,543.2,"1,35,28,447","11,82,51,52,187.65","2,32,883"
29-Jul-24,EQ,866.05,889.1,863.2,862.45,871,871.6,877.2,912,543.2,"2,65,82,781","23,31,85,20,569.70","3,80,412"
26-Jul-24,EQ,844.65,864.25,844,848.5,859.95,862.45,857.5,912,543.2,"1,20,81,506","10,35,98,63,504.15","1,99,144"
25-Jul-24,EQ,847.5,850.75,841.2,852,848.95,848.5,846.52,912,543.2,"95,22,375","8,06,09,16,692.50","1,80,539"
24-Jul-24,EQ,864.2,868,847.2,863.9,853.95,852,854.85,912,543.2,"1,96,24,845","16,77,63,15,258.25","3,22,758"
23-Jul-24,EQ,883,884.5,849.1,876.8,864.2,863.9,868.8,912,543.2,"1,82,79,212","15,88,10,66,151.40","3,82,383"
22-Jul-24,EQ,881.45,895,868,889.35,878,876.8,881.14,912,543.2,"1,46,14,111","12,87,71,04,621.30","2,83,608"
19-Jul-24,EQ,895,899,883.3,893.55,889.5,889.35,890.65,912,543.2,"1,45,62,742","12,97,02,54,056.15","3,16,170"
18-Jul-24,EQ,880.65,894.9,877.5,880.7,892.5,893.55,889.57,912,543.2,"1,94,35,183","17,28,89,90,051.00","3,80,546"
16-Jul-24,EQ,882.3,888.1,874.3,881.35,882,880.7,880.47,912,543.2,"1,18,93,692","10,47,20,20,266.75","1,96,244"
